decoherence;lde_success;probabilistic;measurement_duration;lde_duration;use_swap_gates;network_noise_type;T1_idle;T2_idle;T1_lde;T2_lde;T1_idle_electron;T2_idle_electron;gate;pg;pm;pn;pm_1;fixed_lde_attempts;pulse_duration;noise;basis_transformation_noise;no_single_qubit_error;avg_duration;avg_fidelity;dur_std;fid_entanglement;fid_int;fid_sem;fid_std_l;fid_std_r;iterations;node
True;0.0001;True;4e-06;6e-06;True;1;300.0;10.0;0.021;0.009;10000.0;1.0;cnot;0.005;0.01;0.05;0.01;0;0.0;True;False;True;0.08624662457993279;0.3555823532424499;(0.036922, 0.135582);0.19447794155306397;(0.06323190012890707, 0.37252620345218507);0.0009182923808224468;0.10499683313932429;0.1424386095192981;49992.0;Natural Abundance
True;0.0001;True;4e-06;6e-06;True;1;300.0;10.0;0.021;0.009;10000.0;1.0;cnot;0.005;0.01;0.05;0.01;2000;0.001;True;False;True;0.11463706437029927;0.3539661750240687;(0.051504, 0.17600400000000002);0.19245771878008625;(0.06317844205849192, 0.3657610377700109);0.0009099374064410419;0.10342342137727556;0.13864265519193958;49992.0;Natural Abundance
True;0.0001;True;4e-06;6e-06;True;1;300.0;10.0;0.021;0.009;10000.0;1.0;cnot;0.005;0.01;0.05;0.05;0;0.0;True;False;True;0.0868069020243239;0.35066809731208465;(0.037062, 0.137082);0.18833512164010502;(0.06316230133163539, 0.35845785564410904);0.0008749175334115967;0.10013825624677597;0.136098187203203;49992.0;Natural Abundance
True;0.0001;True;4e-06;6e-06;True;1;300.0;10.0;0.021;0.009;10000.0;1.0;cnot;0.005;0.01;0.05;0.05;2000;0.001;True;False;True;0.1144887455192831;0.3515360708215034;(0.051504, 0.17600400000000002);0.18942008852687917;(0.06317077169290233, 0.3618811130293339);0.0008794137697198421;0.10099945346718137;0.1379688196019639;49992.0;Natural Abundance
True;0.0001;True;4e-06;6e-06;True;1;300.0;10.0;0.021;0.009;10000.0;1.0;cnot;0.005;0.01;0.1;0.01;0;0.0;True;False;True;0.08645541974715953;0.35265679104340075;(0.036954, 0.13670000000000002);0.19082098880424822;(0.06318907825844441, 0.365248353790268);0.0008907650707859295;0.10210552843664494;0.1395418919888139;49992.0;Natural Abundance
True;0.0001;True;4e-06;6e-06;True;1;300.0;10.0;0.021;0.009;10000.0;1.0;cnot;0.005;0.01;0.1;0.01;2000;0.001;True;False;True;0.1144741749079853;0.3530161636686913;(0.051504, 0.17650000000000002);0.19127020458586463;(0.06317722413872445, 0.3675886767811128);0.000893464579036129;0.1024743843577115;0.14105477775619912;49992.0;Natural Abundance
True;0.0001;True;4e-06;6e-06;True;1;300.0;10.0;0.021;0.009;10000.0;1.0;cnot;0.01;0.01;0.05;0.01;0;0.0;True;False;True;0.08709935093614979;0.3522039549303634;(0.037288, 0.13806000000000002);0.1902549436629549;(0.06314083101699276, 0.36054516340461457);0.0008973598643368505;0.10169129011676936;0.13623217579332814;49992.0;Natural Abundance
True;0.0001;True;4e-06;6e-06;True;1;300.0;10.0;0.021;0.009;10000.0;1.0;cnot;0.01;0.01;0.05;0.01;2000;0.001;True;False;True;0.11460569347095538;0.3535513298702197;(0.051504, 0.17600400000000002);0.1919391623377759;(0.06317576836713813, 0.3671110205411421);0.0009082799371990134;0.10301071517651011;0.1401374865626931;49992.0;Natural Abundance
True;0.0001;True;4e-06;6e-06;True;1;300.0;10.0;0.021;0.009;10000.0;1.0;cnot;0.01;0.01;0.05;0.05;0;0.0;True;False;True;0.08670481377020324;0.3497028464463897;(0.03703, 0.13775800000000002);0.18712855805798834;(0.06313668164794434, 0.3554898778047909);0.0008677681532793212;0.09919350112803405;0.13468905579744322;49992.0;Natural Abundance
True;0.0001;True;4e-06;6e-06;True;1;300.0;10.0;0.021;0.009;10000.0;1.0;cnot;0.01;0.01;0.05;0.05;2000;0.001;True;False;True;0.11443725460073614;0.34919217936522473;(0.051504, 0.17600400000000002);0.18649022420653333;(0.06319140447729413, 0.3518218936830204);0.000863487011210341;0.09863905578338988;0.13226533558119113;49992.0;Natural Abundance
